user_idx,items
425,"8420,6219,8234,10325,5998,9941,9798,2904,9071,1787,9448,13345,7722,13295,2788,5531,2566,10607,10915,2336,3949,1995,4412,12605,5544,4321,6325,6528,7557,8160,2342,2536,8561,11750,7196,3044,7228,11560,6981,11110,13223,4797,1699,330,11910,11383,6417,5865,930,761"
435,"8589,8420,6514,2198,2342,6165,7062,4697,11395,6394,9936,13295,10834,8234,4276,9579,9339,4412,9798,4797,9692,1956,7228,9667,4946,12025,2566,2788,5544,892,8451,6833,2989,5484,4148,8702,7722,8561,6981,2536,1452,1298,7963,3514,3070,6961,6794,8160,1289,6970"
452,"2342,88,6219,6794,1219,2536,5302,2139,6833,5531,10325,1733,9692,12857,8589,2217,5865,13345,2566,7963,6230,4697,9579,4276,7520,784,4797,10915,1977,7270,4412,2788,3769,7067,7137,1452,6325,3339,330,1226,11750,1285,686,3908,12989,12605,2420,4387,10433,7722"
460,"788,9961,13308,7816,4928,2915,6624,10335,4612,6242,7119,342,10643,10662,295,12496,12868,4972,3538,13026,9767,5007,9865,1474,9670,10388,2568,4082,7403,1557,10962,3479,9294,10146,3885,7855,3322,11650,4687,9836,1749,2186,6097,9184,3602,11023,5572,3237,6970,2139"
463,"2139,10325,9941,8420,8234,2217,2198,13295,2788,7722,9798,6432,274,2566,2989,5484,9667,4412,630,975,219,2336,9579,4148,1226,6165,11395,1452,6394,12856,1420,810,4276,8412,12679,9448,330,5544,3044,9967,2420,8160,7228,2807,1583,6325,7557,4797,12025,11383"
472,"5302,2139,2217,8420,2198,11395,4276,8234,9579,13295,9798,4412,6514,6394,4116,784,11356,1452,7137,9339,9941,4946,1956,3087,4100,4797,5544,11539,6165,9071,2342,2566,1298,2205,7722,10915,1285,3070,4697,6325,2788,10339,2570,5484,9936,12025,10081,892,330,4148"
480,"5302,10325,9941,8420,10834,8234,4276,13295,9798,7722,2989,11783,4797,11383,4412,9579,7911,975,2336,2788,12856,810,9967,6432,5484,330,5531,2566,3054,11539,5544,10915,2342,10382,2420,8160,8412,7228,3044,12358,9448,1209,12025,2410,10178,6833,8561,9937,1289,6970"
489,"8420,5302,10325,4276,2217,8234,2788,2198,2566,2904,4864,2379,4412,4797,1597,9798,219,7137,10607,2342,2336,13295,9879,4321,11395,3054,7722,11750,5484,543,810,12856,10915,5609,686,11383,6394,5198,12025,10081,930,6981,9967,6750,8160,6637,5544,8561,5023,2420"
493,"8234,10325,7722,2566,12025,4148,4946,6219,1452,13295,10178,3070,7706,9798,12664,12679,6394,5544,4484,6981,2342,2420,11383,12605,10834,1571,5063,10915,7270,7228,4100,11560,9454,2217,9732,1733,11179,6165,1583,6197,9996,12555,9289,11110,11750,9458,11592,2788,7052,5865"
496,"1289,9961,2915,7119,5134,788,295,11917,3426,1557,10606,4575,4663,6970,1243,10662,4035,2637,13308,11023,10388,11297,11774,3237,5968,10647,2956,4162,10146,10962,8634,2578,3696,6624,777,8713,11718,7816,342,5978,4215,1638,7855,4612,9745,13369,4110,53,3997,12765"
509,"2342,88,1219,1733,2139,10325,2536,6833,8589,5531,13345,3949,5998,6794,12857,11636,3044,5865,12792,2788,10834,630,2336,2198,3908,2217,274,3339,9579,4148,3769,4797,2566,4276,4697,4387,12679,7270,3070,1452,810,2420,9448,11110,4318,6325,6394,9967,6230,1289"
510,"8420,2566,10325,11842,2788,850,9798,2904,1787,10915,330,784,2168,9071,2336,3769,3044,4864,13295,1597,9732,9879,975,2420,3765,5917,4276,10607,930,1995,836,4321,810,543,1209,1583,686,5544,3054,10178,3339,1571,7947,11571,11383,4797,7137,11560,6981,12856"
511,"1289,6970,10662,2915,8589,4928,3426,6242,1557,10606,1399,7119,5134,295,8566,9767,3538,4162,1243,4035,4575,2956,11023,9294,4215,2342,11297,8634,10580,11917,2788,5671,10962,10388,342,9670,2884,12679,5968,2578,1778,10146,4663,2968,6833,2663,3069,9184,7944,1749"
523,"1289,4928,5134,788,2915,10662,7119,6242,10606,9961,342,3426,11023,295,8566,7816,1557,5968,4575,4035,9767,10388,10580,9294,4162,9670,11297,2568,3261,2956,2968,4612,6624,5671,4215,1976,11917,8553,3696,9745,2884,2578,245,3237,8634,1638,10335,4110,10647,6970"
524,"2139,2566,10325,10834,9798,2336,2217,9579,13295,975,1452,9071,2342,6432,330,11750,2420,3054,5544,543,6981,2646,8412,810,6165,1226,4276,10607,1583,6302,12856,10915,630,3044,12025,2788,6234,8160,5484,3339,6325,7947,4797,4412,5198,5917,761,686,7137,1289"
544,"10325,8420,11842,2336,2904,4864,8234,4276,2566,1179,1787,1775,810,4797,9798,11539,1995,10915,11383,2788,12679,1977,330,10137,13295,9879,7137,11571,4412,543,1209,5484,12856,3769,3054,1226,3044,686,7722,12989,930,10178,836,5544,6637,7947,6325,8160,1583,1289"
559,"2139,8420,5302,10325,7196,9071,1911,9941,2217,2420,11383,7911,3769,11842,1787,9937,1995,6325,5531,6394,2342,4797,2336,9579,10915,9233,11395,10178,2566,630,9327,7963,784,12856,11571,6618,836,3044,7137,2788,7216,1452,8160,11725,2865,2205,3054,1016,2198,1289"
563,"8420,2217,4276,10325,4797,10137,11842,3054,13295,850,2566,9798,4412,2788,9071,10607,10915,9667,330,1222,6325,7137,5544,2807,2336,9879,12025,12155,1452,6981,4148,9448,11750,12856,5609,1209,3339,9967,12989,1583,10433,8160,5501,2797,7228,7722,836,10565,686,11383"
565,"6219,2566,10325,9798,10834,9071,8234,6165,13295,2788,219,10607,1911,11783,5544,12856,975,3054,9579,6394,4276,6432,2336,11395,3339,330,2198,11750,4797,772,7947,12025,2420,4946,10915,6325,7228,5198,12605,3769,1583,11383,930,8160,4412,761,1285,3044,7722,6981"
567,"2139,2217,7062,8420,9579,10325,1911,9667,9798,274,4276,330,7137,850,975,4797,11383,11842,12679,3054,10178,7438,1995,2336,6165,13295,2198,9071,4412,1787,8412,11395,2566,5544,1209,543,2788,1452,12025,12155,9732,810,8160,5917,499,12874,1583,12856,12989,4946"
569,"6970,5302,9798,2217,4797,10325,13295,10834,7137,2788,5544,4100,6165,4412,12679,11395,2198,8234,12025,5198,11539,2342,11783,2566,975,3769,4276,3339,9936,11383,5609,10607,4321,4697,6394,7228,7947,8702,8160,11402,4946,8561,6528,10433,6325,2797,10081,6981,10178,11110"
572,"2139,10325,8420,2566,6394,4946,2342,9071,1911,5998,2198,3949,11395,9798,10137,1226,5531,5198,2336,11750,2420,2788,12025,330,3044,772,8160,13295,975,12155,4276,9879,6981,3514,930,3769,3339,4148,2205,5917,810,543,5865,4797,7270,7947,7722,2148,761,1956"
593,"12155,1639,12856,10355,5544,2394,6891,5484,1439,6313,6961,11383,7502,11910,8451,9862,4321,10261,4945,13295,10990,7722,1583,4052,6165,7186,8898,4412,9491,4452,7298,1285,2345,9937,465,5470,1739,10178,11256,11837,4347,3111,11704,9340,12555,10190,1226,2493,571,5763"
600,"12856,12155,11383,10355,3529,9862,2394,5544,11992,3710,8451,6313,4452,1639,1583,7722,6961,1439,8898,10178,5023,7298,4412,10261,6095,3695,6165,11910,11281,7186,13295,5641,11837,3787,9937,10999,4923,9491,1739,12933,4347,465,5470,6787,11256,12025,1024,9088,2204,686"
604,"784,2821,4116,6219,2570,4052,2139,5302,2566,11356,5998,10834,975,9798,2342,5531,1787,5198,13057,12610,1226,13295,11842,2909,11539,3054,11783,1995,1597,3339,3765,5544,7963,4797,11395,4276,5865,809,11750,1879,7270,7947,6394,2198,2420,4412,6981,3044,930,2788"
640,"8420,10325,5998,9071,2217,13295,1787,9798,11842,4412,1911,9941,12679,7722,9732,1995,2205,6325,11395,1226,3765,219,2788,1879,2336,6394,975,2198,2566,9937,7196,4946,3070,11571,330,1452,6432,10081,5484,4276,836,4484,7228,2865,3054,3044,761,4797,10915,1289"
649,"2566,10325,8420,1911,2420,9071,274,5531,686,4276,2336,11842,9798,330,7062,850,2198,3044,13295,11750,4797,3339,6432,9879,543,12856,10607,1226,2788,10915,4412,810,7722,3769,1583,11395,6325,9579,5023,5198,6981,930,5917,761,8204,1571,7228,11383,12605,7270"
674,"7722,4412,2217,9798,13295,2198,10325,9941,5998,8234,10081,8921,5544,1226,6165,2989,3839,4145,10834,4697,630,2342,12679,4148,1452,2788,2479,975,7947,3105,8412,11750,11395,3887,7228,4797,3339,3070,7557,810,4276,12605,3044,11288,2336,2566,12025,12856,6325,1289"
676,"1289,788,4928,342,9961,13308,6624,7119,10662,8566,7816,12868,4612,9670,10335,11116,9404,4082,1474,5572,10643,10321,125,12029,3885,13141,10580,4776,12496,3322,3479,4972,8301,8652,9767,1557,11023,4386,2186,5115,9865,926,5968,9294,1435,7403,4162,6970,2139,5302"
678,"2139,5302,2217,10325,4148,1452,13295,4697,2198,975,3044,6165,4864,9798,10915,630,12679,7438,810,2336,4797,7722,454,9667,2989,4412,6432,2342,6417,12605,5544,330,6325,1583,9579,1226,11750,8160,5484,6833,7557,1879,2420,9967,1420,1733,9692,4946,4276,6794"
682,"6970,5302,8420,330,2788,2217,10325,850,11842,13295,975,9798,2168,4797,12679,9071,7137,3949,1911,8160,5917,3054,2566,4276,3044,3339,1995,8412,5544,543,3765,10607,5198,10178,1452,12025,810,9732,5609,2342,1209,1787,2336,11383,9448,6325,2420,349,1571,12989"
686,"10325,2420,8420,2566,9941,2336,9071,5998,9579,10915,1911,810,1787,3054,10607,686,12856,9798,5531,1226,11750,3044,3769,7722,1583,330,11383,543,4797,10433,2788,5917,5198,6302,4412,9879,6325,454,5023,7137,12989,6981,10178,7228,2646,5304,3339,12384,12025,1289"
704,"2290,10325,2139,6219,8234,5746,7382,6394,9798,2217,2148,3642,10834,9071,1452,2263,646,11395,8160,10026,564,7438,2198,2566,13295,4946,2593,2788,330,2632,3044,499,6325,9448,4876,7228,164,7062,382,4797,7137,10915,10461,11560,2601,1225,11383,12856,5917,2381"
707,"10673,1289,8634,4035,1749,11063,6321,6721,5569,688,8341,9670,11023,10384,10996,8089,8166,788,2339,13184,3915,1350,12831,11142,9586,11212,9184,1638,3434,1968,1521,7493,2763,5434,10693,1333,1292,2713,7072,9566,1585,3426,11742,3641,10110,5640,1778,8212,10465,6970"
711,"2139,6970,4412,5302,2217,9798,13295,4797,3105,4100,5544,4276,10081,9667,975,3769,2342,7722,12025,274,9071,11395,2788,2198,8412,6165,10607,8519,3339,3839,11383,1452,8702,7228,9936,6961,7947,10178,6325,2336,8561,2566,9732,1226,6981,9967,4697,3887,4314,6833"
714,"2139,8234,6219,10325,7722,9071,9798,1911,9941,2566,10915,3044,13295,8160,2788,4946,6394,9732,6165,11395,975,2336,1879,4321,9448,330,2148,4412,2198,11560,10178,809,9012,5544,6325,4148,7557,7228,5123,2420,12605,11910,9340,761,11383,1583,8561,4797,630,930"
727,"1289,788,5134,10606,2915,9961,3426,4928,11297,10662,9767,7119,4035,6242,11023,11917,8634,3538,295,7816,5671,13308,10388,1557,5968,4612,1778,1749,9294,2637,9184,4162,2956,342,1850,7944,3261,8713,9959,3069,5978,9169,4215,1198,6624,12902,2568,4110,2968,6970"
742,"6219,2139,10325,2566,5998,9071,784,5531,2342,2821,2336,1911,3339,6165,4276,4116,3054,12856,10915,11750,11395,2198,2788,2420,543,2989,10607,6325,7722,12756,4321,4412,7228,5198,12605,12025,1583,4946,11383,1226,5865,4797,6394,6637,2570,930,8561,4148,10178,6981"
752,"5302,8420,10325,2566,2788,7137,5998,12679,3339,1995,11539,4797,2168,1787,1911,330,9798,4276,3054,8234,784,9071,5609,975,13295,5198,219,8160,2336,4116,10607,3765,543,5544,4412,12025,930,11383,10915,5917,2570,10178,4052,810,9448,1571,9732,6325,12856,7228"
756,"5302,2139,10325,2566,4276,9798,2217,10834,9941,8234,9579,13295,2788,3054,5024,3339,12856,2336,11539,330,4412,5544,11842,6432,7137,4797,11750,11383,10915,1977,6325,7722,7947,543,1226,9879,6394,8160,10433,686,7911,5023,2198,10081,1420,12025,6981,7228,930,1289"
767,"6219,6970,10325,9798,2566,2217,8234,10834,13295,2342,5531,9941,4412,5544,2336,9071,11539,6165,975,3054,1452,1226,8921,11783,12856,810,7228,850,12605,7947,10915,10607,7722,7062,12025,4148,6325,1928,4276,8561,11383,5865,5198,1583,3769,10081,4145,2788,7557,1289"
796,"2566,10325,7722,4946,8234,2139,6219,3949,4484,10178,4148,2936,6981,3105,12679,1733,5063,6394,1452,3070,8412,630,12025,13295,3339,11592,1571,12373,11560,761,4100,1583,5544,2238,2205,2420,9798,11395,12555,5123,2342,5998,10915,10834,4198,7779,2198,7270,9289,5494"
812,"6219,7636,2342,8234,6165,6833,4928,12496,10834,4412,4697,9692,8702,9936,6242,9798,4082,5548,13295,2566,9458,7722,5341,12330,3087,10138,12029,12664,10321,9563,2788,88,4386,7228,5544,4797,2536,8561,6794,12605,6750,2148,10962,4046,1226,564,784,5572,9082,7705"
831,"6970,1289,6219,4697,2217,10662,6165,3087,13295,8234,8921,7636,9798,7438,12496,5544,9936,2372,2342,8702,7714,1855,5148,4386,4100,10146,4412,4082,7855,10962,9458,9082,4148,588,11885,10240,1226,9453,8980,10331,1452,9563,4145,7228,2536,10461,7705,5341,564,7947"
832,"12856,8451,10261,11383,9862,5544,12155,7722,10355,1639,6313,1439,1285,3529,564,6165,1583,8898,4347,2120,2381,3607,11006,2394,10178,5470,7186,5023,11910,7298,465,9340,13295,4412,9937,11837,2227,11281,2641,5945,11179,11704,9491,9305,12933,11256,101,5496,4923,12555"
843,"12856,5544,11383,8451,10355,5484,10261,1583,7947,1570,9798,564,6961,620,6981,9862,1439,11006,12001,13295,4923,10178,9491,11910,2381,465,6165,4321,6313,11750,2120,4347,7186,5470,1639,12933,9291,11909,3787,10672,8898,11179,3607,12555,4740,6535,6456,3768,10190,13223"
857,"6970,5302,2139,8420,7137,4797,4276,2217,10834,10325,9798,9667,330,13295,975,3054,3769,2788,4412,12025,9941,4100,2336,5544,11383,2566,3339,2989,8160,12989,10178,10915,9305,9732,6127,810,8561,9967,1209,7228,4314,8596,12856,6981,7947,9448,10081,1420,7722,11750"
873,"2139,6970,5302,4412,2217,9798,7137,10325,13295,8234,10834,4797,12679,2788,4100,5544,9667,11539,2566,3105,3769,330,1911,3054,10081,3339,4276,2198,975,8412,12025,11395,7722,11383,543,4321,10178,2989,8160,2336,5917,7947,12155,6898,7228,9732,6981,1452,3839,4946"
874,"6219,2139,9798,1452,2217,2566,13295,4697,5998,5544,8234,1226,975,7062,10834,274,6165,543,7947,686,9667,6432,3044,11783,7722,2336,11750,4145,4100,4412,5198,330,3769,2788,810,4148,2420,8519,2198,12025,4946,8160,7228,5484,8921,3339,12605,6981,2205,11395"
891,"2139,6394,4946,2205,10325,6219,8420,1911,5998,2217,2198,11395,9071,2238,1452,542,3514,630,5544,4484,1420,9798,7228,3044,4412,2336,12025,4148,7722,4797,9732,2566,1016,11383,10178,13295,7438,564,4876,2788,975,1879,9825,10339,892,5123,448,4276,1289,6970"
896,"8420,10325,8234,2379,7722,5998,1787,9798,1879,2566,3044,3949,13295,1995,2788,10777,2336,5531,2342,4148,10607,4412,11560,10915,8160,10178,3339,12605,6325,11395,2198,761,9732,9448,2646,4946,7557,7216,3054,2536,809,11571,5544,11842,7279,7228,1571,7196,1733,2420"
911,"1289,10606,6970,2045,4928,342,4575,777,1243,9670,8301,7119,4027,1399,88,3237,2663,9184,5134,3538,1733,3426,2342,419,11142,10388,1557,2713,11023,2568,9767,2693,280,11116,2637,1365,1638,13141,524,9404,2578,13184,1749,8553,8858,3322,10580,10529,2968,5544"
923,"8420,6219,2139,10325,2566,2788,11842,8234,13295,1911,9798,1597,11539,10834,850,10137,2168,2336,9448,3054,4276,9941,9071,10607,7137,4412,5544,4100,543,4797,9967,9879,3427,5609,10339,3339,5198,7722,6325,330,836,2410,8160,2264,7216,930,4148,7947,713,1226"
925,"6970,6219,8234,4697,10325,9798,13295,6165,3044,2342,12605,11539,5544,219,2372,6528,1879,4321,5531,8160,9941,4100,9936,7636,4148,6981,1855,2536,809,11750,6325,7228,1733,12756,3087,3991,11910,7557,10331,5148,7023,6891,2784,8561,5501,11102,7947,2936,8412,2420"
932,"2139,6970,5302,4412,2217,10325,7062,2788,4797,9798,7137,11395,975,4276,12679,3769,13295,2198,3339,3105,2566,9071,8234,1911,3054,274,12025,330,2168,7438,4100,5544,10081,543,2342,4946,10607,7722,564,8160,2336,12155,8412,5609,4314,9732,9305,1452,3839,2205"
943,"3105,7722,10081,3839,12330,1718,2139,1226,3887,2290,5302,4797,8793,4276,9798,13295,2788,2479,5548,11047,6932,11907,2342,12025,6833,9692,10506,191,4052,11551,12103,2566,2198,9448,11395,4761,9997,10433,9088,2334,8176,5350,6794,12098,4739,10467,2536,7947,261,1289"
